mass,time,massdiff,netforce
0.02,1.461,0.01,0.0469
0.02,1.441,0.01,0.0483
0.02,1.228,0.01,0.0664
0.02,1.195,0.01,0.0702
0.02,1.276,0.01,0.0615
0.02,1.290,0.01,0.0602
0.02,1.860,0.01,0.029
0.03,0.936,0.02,0.153
0.03,1.016,0.02,0.129
0.03,0.949,0.02,0.148
0.03,1.009,0.02,0.131
0.03,1.006,0.02,0.132
0.03,0.931,0.02,0.154
0.03,1.000,0.02,0.134
0.10,0.667,0.09,0.826
0.10,0.683,0.09,0.788
0.10,0.669,0.09,0.821
0.10,0.686,0.09,0.781
0.10,0.691,0.09,0.770
0.04,0.896,0.03,0.208
0.04,0.823,0.03,0.247
0.04,0.801,0.03,0.260
0.04,0.897,0.03,0.208
0.04,0.834,0.03,0.240
0.04,0.887,0.03,0.212
0.04,0.889,0.03,0.207
